"id","customer_id","rule_id","exception_value","justification","review_date","last_updated","last_updated_by"
1,brightsolid,s3-detect-unencrypted-bucket,bs-quorum-dropbox,Enabled by system,2022-12-12 16:23:59.759 +0000,2022-09-12 17:25:36.091 +0100,system
3,brightsolid,s3-detect-unencrypted-bucket,bsol-dev-bakery-assets,Enabled by system,2022-12-12 16:23:59.759 +0000,2022-09-12 17:25:36.091 +0100,system
